1,0,"AuthException - Unable to authenticate the app user. Typically means the access token has expired, been invalidated, or the app user changed a setting to prevent all apps from accessing their data. Get a new access token."
2,3,API Method - Capability or permissions issue. Use the access token debugger to verify permissions.
3,10,"Permission Denied - Permission is either not granted or has been removed. Verify permissions with access token debugger. For WhatsApp Flows with Endpoint, ensure phone number is allowlisted."
4,190,Access token has expired - Get a new access token.
5,200-299,API Permission - Permission is either not granted or has been removed. Verify permissions with access token debugger.
6,368,Temporarily blocked for policies violations - WhatsApp Business Account has been restricted or disabled for violating a platform policy.
7,130497,Business account is restricted from messaging users in this country. See WhatsApp Business Messaging Policy for allowed countries.
8,131031,"Account has been locked - WhatsApp Business Account has been restricted/disabled for violating platform policy, or unable to verify data (e.g., two-step pin incorrect). Use Health Status API for insight."
9,2388040,Character limit exceeded - A field in your template has exceeded the maximum character limit allowed.
10,2388047,Message header format is incorrect - Your message header contains invalid formatting.
11,2388072,Message body format is incorrect - Your message body contains invalid formatting.
12,2388073,Message footer format is incorrect - Your message footer contains invalid formatting.
13,2388293,Parameters words ratio exceeds limit - Template has too many variables for its length. Reduce variables or increase message length.
14,2388299,Leading or trailing parameters not allowed - Variables cannot be at the start or end of the template.
15,2388019,Message Template Limit Exceeded - Exceeded maximum number of message templates (250) for this WhatsApp Business Account.
16,2388012,Phone number already exists - The phone number you are trying to migrate is already present in your WhatsApp account.
17,2388091,Phone number not eligible for registration code - Phone ownership verification APIs are not available for this use case. Register and verify the number instead.
18,2388093,Phone number not eligible to verify registration code - Phone ownership verification APIs are not available for this use case. Register and verify the number instead.
19,2388103,"Cannot migrate phone number - Various reasons: webhooks not set up, phone number eligible for direct add, display name not approved, source WABA not set up correctly, no payment account, or same business requirement not met."
20,2494100,Account is in maintenance mode - The business phone number is in maintenance mode. Try again in a few minutes.
21,200005,Template insights unavailable - Template insights are not available yet for this WhatsApp Business Account.
22,200006,Cannot disable template insights - Invalid operation. Template Insights cannot be disabled once enabled.
23,200007,Template Insights not enabled - Template Insights have not been enabled for this WhatsApp Business Account.
24,2593079,WABA marked for migration - This WABA has already been marked for migration to a different solution ID. OBO model is deprecated.
25,2593085,Invalid WhatsApp Business Account for OBO Mobility - WABA is not eligible for OBO ownership transfer. May already use WABA Sharing model or OBO request not accepted.
26,2593107,Synchronization Request limit exceeded - Exceeded maximum times to call synchronization API. Can only call once for contacts and once for messaging history.
27,2593108,Synchronization Request made outside of allowed time window - Can only be made within 24 hours of onboarding.
28,4,API Too Many Calls - App has reached its API call rate limit. Check Application Rate Limit in App Dashboard.
29,80007,Rate limit issues - WhatsApp Business Account has reached its rate limit. Try again later or reduce API queries.
30,130429,Rate limit hit - Cloud API message throughput has been reached. See Throughput documentation.
31,131048,Spam rate limit hit - Message failed due to restrictions from too many previous messages being blocked or flagged as spam. Check quality status in WhatsApp Manager.
32,131056,"(Business Account, Consumer Account) pair rate limit hit - Too many messages sent from sender to same recipient in short period. Wait and retry or send to different number."
33,133016,Account register deregister rate limit exceeded - Too many registration/deregistration attempts for this phone number. Try again once unblocked.
34,1,API Unknown - Invalid request or possible server error. Check WhatsApp Business Platform Status page.
35,2,API Service - Temporary due to downtime or overloaded. Check WhatsApp Business Platform Status page.
36,33,Parameter value is not valid - The business phone number has been deleted. Verify the number is correct.
37,100,Invalid parameter - Request included unsupported or misspelled parameters. Check endpoint reference. Ensure business public key is valid 2048-bit RSA in PEM format.
38,130472,User's number is part of an experiment - Message was not sent as part of an experiment. See Marketing Message Experiment docs.
39,131000,Something went wrong - Message failed to send due to an unknown error. Try again or open Direct Support ticket.
40,131005,Access denied - Permission is either not granted or has been removed. Verify permissions with access token debugger.
41,131008,Required parameter is missing - The request is missing a required parameter. Check endpoint reference.
42,131009,Parameter value is not valid - One or more parameter values are invalid. Check endpoint reference and Phone Numbers documentation.
43,131016,Service unavailable - A service is temporarily unavailable. Check WhatsApp Business Platform Status page.
44,131021,Recipient cannot be sender - Sender and recipient phone number is the same. Send to a different number.
45,131026,"Message Undeliverable - Unable to deliver. Recipient may not be on WhatsApp, hasn''t accepted Terms of Service, or using old WhatsApp version."
46,131037,WhatsApp provided number needs display name approval - The 555 business phone number does not have an approved display name.
47,131042,"Business eligibility payment issue - Error related to payment method. Common issues: no payment account attached, credit line over limit, WABA deleted/suspended, timezone/currency not set."
48,131045,Incorrect certificate - Message failed due to phone number registration error. Register the phone number before trying again.
49,131047,Re-engagement message - More than 24 hours since recipient last replied. Send a template message instead.
50,131049,Meta chose not to deliver - Message not delivered to maintain healthy ecosystem engagement. Wait 24 hours before resending. See Per-User Marketing Template Message Limits.
51,131050,User has stopped receipt of marketing messages - Recipient has chosen to stop receiving marketing messages from your business. Do not retry.
52,131051,Unsupported message type - See Messages documentation for supported message types.
53,131052,Media download error - Unable to download media sent by user. Ask user to send via non-WhatsApp method.
54,131053,Media upload error - Unable to upload media. May be unsupported media type. Check Supported Media Types documentation.
55,131057,"Account in maintenance mode - Business Account is in maintenance mode, possibly undergoing throughput upgrade."
56,132000,Template Param Count Mismatch - Number of parameter values did not match number of parameters defined in template.
57,132001,Template does not exist - Template does not exist in specified language or has not been approved. Verify template name and language locale.
58,132005,Template Hydrated Text Too Long - Translated text is too long. Check template translation in WhatsApp Manager.
59,132007,Template Format Character Policy Violated - Template content violates a WhatsApp policy. See Template review documentation.
60,132012,Template Parameter Format Mismatch - Variable parameter values formatted incorrectly. See Templates documentation for formats.
61,132015,Template is Paused - Template paused due to low quality. Edit template to improve quality.
62,132016,Template is Disabled - Template permanently disabled due to being paused too many times. Create a new template with different content.
63,132068,Flow is blocked - Flow is in blocked state. Correct the Flow.
64,132069,Flow is throttled - Flow is throttled and 10 messages using this flow were already sent in the last hour. Correct the Flow.
65,133000,Incomplete Deregistration - A previous deregistration attempt failed. Deregister again before registering.
66,133004,Server Temporarily Unavailable - Check WhatsApp Business Platform Status page and response details before trying again.
67,133005,Two step verification PIN Mismatch - Two-step verification PIN incorrect. Verify PIN or reset by disabling then setting new PIN.
68,133006,Phone number re-verification needed - Phone number needs to be verified before registering.
69,133008,Too Many two step verification PIN Guesses - Too many PIN guesses. Try again after time specified in response.
70,133009,Two step verification PIN Guessed Too Fast - PIN was entered too quickly. Check response details before trying again.
71,133010,Phone number Not Registered - Phone number not registered on WhatsApp Business Platform. Register the number first.
72,133015,Please wait before attempting to register - Phone number was recently deleted and deletion not yet completed. Wait 5 minutes.
73,134011,WhatsApp Payments terms of service not accepted - WhatsApp Payments terms acceptance is pending. Accept terms before trying again.
74,135000,Generic user error - Message failed due to unknown error with request parameters. Check endpoint reference or contact support.
75,131055,Method not allowed - Only marketing template messages are supported. Send using a marketing template message.
76,134100,Only marketing messages supported - Attempting to send utility or authentication template. Only MARKETING templates supported.
77,134101,Your template is still syncing - Template syncing can take up to 10 minutes. Wait and try again.
78,134102,Template unavailable for use - Unable to complete Ad synchronization or not eligible for MM API. Check eligibility status.
79,132018,Template validation error - Issue with parameters in template. Review errors and update parameters.
80,1752041,Duplicate Request - Client has already been invited to onboard by any partner. Onboarding limited to one request per business customer.
